時刻,種別,行き先
05:16,普通,大阪梅田
05:35,普通,大阪梅田
05:53,普通,大阪梅田
06:12,普通,大阪梅田
06:22,普通,大阪梅田
06:33,普通,大阪梅田
06:40,普通,大阪梅田
06:48,普通,大阪梅田
07:03,普通,大阪梅田
07:13,普通,大阪梅田
07:23,普通,大阪梅田
07:39,普通,大阪梅田
08:11,普通,大阪梅田
08:43,普通,大阪梅田
09:07,普通,大阪梅田
09:28,普通,大阪梅田
09:48,普通,大阪梅田
10:08,普通,大阪梅田
10:28,普通,大阪梅田
10:48,普通,大阪梅田
11:08,普通,大阪梅田
11:28,普通,大阪梅田
11:48,普通,大阪梅田
12:08,普通,大阪梅田
12:28,普通,大阪梅田
12:48,普通,大阪梅田
13:08,普通,大阪梅田
13:28,普通,大阪梅田
13:48,普通,大阪梅田
14:08,普通,大阪梅田
14:28,普通,大阪梅田
14:48,普通,大阪梅田
15:08,普通,大阪梅田
15:28,普通,大阪梅田
15:48,普通,大阪梅田
16:08,普通,大阪梅田
16:28,普通,大阪梅田
16:48,普通,大阪梅田
17:09,普通,大阪梅田
17:29,普通,大阪梅田
17:50,普通,大阪梅田
18:10,普通,大阪梅田
18:30,普通,大阪梅田
18:51,普通,大阪梅田
19:12,普通,大阪梅田
19:32,普通,大阪梅田
19:52,普通,大阪梅田
20:12,普通,大阪梅田
20:32,普通,大阪梅田
20:52,普通,大阪梅田
21:03,普通,大阪梅田
21:13,普通,大阪梅田
21:23,普通,大阪梅田
21:39,普通,大阪梅田
21:44,普通,大阪梅田
21:56,普通,大阪梅田
22:13,普通,大阪梅田
22:30,普通,大阪梅田
22:46,普通,大阪梅田
23:00,普通,大阪梅田
23:14,普通,大阪梅田
23:29,普通,大阪梅田
23:44,普通,大阪梅田
